# A list of pairs, left: old-name-of-module, right: new-name-of-module.
acl ansible.posix.acl
gitlab_runner community.general.gitlab_runner
gitlab_user community.general.gitlab_user
gluster_volume gluster.gluster.gluster_volume
group ansible.builtin.group
group_by ansible.builtin.group_by
grove community.general.grove
gunicorn community.general.gunicorn
hana_query community.general.hana_query
haproxy community.general.haproxy
helm kubernetes.core.helm
helm_info kubernetes.core.helm_info
helm_plugin kubernetes.core.helm_plugin
helm_plugin_info kubernetes.core.helm_plugin_info
helm_repository kubernetes.core.helm_repository
helm_template kubernetes.core.helm_template
heroku_collaborator community.general.heroku_collaborator
hg community.general.hg
hipchat community.general.hipchat
homebrew community.general.homebrew
homebrew_cask community.general.homebrew_cask
homebrew_tap community.general.homebrew_tap
honeybadger_deployment community.general.honeybadger_deployment
hostname ansible.builtin.hostname
hpilo_boot community.general.hpilo_boot
hpilo_info community.general.hpilo_info
hponcfg community.general.hponcfg
htpasswd community.general.htpasswd
hwc_ecs_instance community.general.hwc_ecs_instance
hwc_evs_disk community.general.hwc_evs_disk
hwc_network_vpc community.general.hwc_network_vpc
hwc_smn_topic community.general.hwc_smn_topic
hwc_vpc_eip community.general.hwc_vpc_eip
hwc_vpc_peering_connect community.general.hwc_vpc_peering_connect
hwc_vpc_port community.general.hwc_vpc_port
hwc_vpc_private_ip community.general.hwc_vpc_private_ip
hwc_vpc_route community.general.hwc_vpc_route
hwc_vpc_security_group community.general.hwc_vpc_security_group
hwc_vpc_security_group_rule community.general.hwc_vpc_security_group_rule
hwc_vpc_subnet community.general.hwc_vpc_subnet
ibm_sa_domain community.general.ibm_sa_domain
ibm_sa_host community.general.ibm_sa_host
ibm_sa_host_ports community.general.ibm_sa_host_ports
ibm_sa_pool community.general.ibm_sa_pool
ibm_sa_vol community.general.ibm_sa_vol
ibm_sa_vol_map community.general.ibm_sa_vol_map
icinga2_feature community.general.icinga2_feature
icinga2_host community.general.icinga2_host
idrac_redfish_command community.general.idrac_redfish_command
idrac_redfish_config community.general.idrac_redfish_config
idrac_redfish_info community.general.idrac_redfish_info
ilo_redfish_config community.general.ilo_redfish_config
ilo_redfish_info community.general.ilo_redfish_info
imc_rest community.general.imc_rest
imgadm community.general.imgadm
import_playbook ansible.builtin.import_playbook
import_role ansible.builtin.import_role
import_tasks ansible.builtin.import_tasks
include module ansible.builtin.include module
include_role ansible.builtin.include_role
include_tasks ansible.builtin.include_tasks
include_vars ansible.builtin.include_vars
infinity community.general.infinity
influxdb_database community.general.influxdb_database
influxdb_query community.general.influxdb_query
influxdb_retention_policy community.general.influxdb_retention_policy
influxdb_user community.general.influxdb_user
influxdb_write community.general.influxdb_write
ini_file community.general.ini_file
installp community.general.installp
interfaces_file community.general.interfaces_file
ip_netns community.general.ip_netns
ipa_config community.general.ipa_config
ipa_dnsrecord community.general.ipa_dnsrecord
ipa_dnszone community.general.ipa_dnszone
ipa_group community.general.ipa_group
ipa_hbacrule community.general.ipa_hbacrule
ipa_host community.general.ipa_host
ipa_hostgroup community.general.ipa_hostgroup
ipa_otpconfig community.general.ipa_otpconfig
ipa_otptoken community.general.ipa_otptoken
ipa_pwpolicy community.general.ipa_pwpolicy
ipa_role community.general.ipa_role
ipa_service community.general.ipa_service
ipa_subca community.general.ipa_subca
ipa_sudocmd community.general.ipa_sudocmd
ipa_sudocmdgroup community.general.ipa_sudocmdgroup
ipa_sudorule community.general.ipa_sudorule
ipa_user community.general.ipa_user
ipa_vault community.general.ipa_vault
ipaddr ansible.netcommon
ipify_facts community.general.ipify_facts
ipinfoio_facts community.general.ipinfoio_facts
ipmi_boot community.general.ipmi_boot
ipmi_power community.general.ipmi_power
iptables ansible.builtin.iptables
iptables_state community.general.iptables_state
ipwcli_dns community.general.ipwcli_dns
irc community.general.irc
iso_create community.general.iso_create
iso_extract community.general.iso_extract
jabber community.general.jabber
java_cert community.general.java_cert
